순번,자치구,코스명,거리,소요시간,코스레벨,상세코스,
58,광진구 성동구,어린이대공원 산책길,1.89km,2시간,초급, 모험의 나라 놀이터~음악분수~전래동화마을~물놀이장,
59,영등포구,여의도공원 산책길,2.82km,1시간30분,초급, 여의도공원 역~ 여의도공원 광장 여의도샛강생태공원,
60,영등포구,영등포 봄꽃 나들길,3.84km,1시간30분,초급, 도림천역~신도림역~신길공원~신길동 넝쿨장미길~신풍역,
61,성북구,오동공원 산책길,2.02km,1시간,초급,오동공원,
62,강북구 도봉구,오패산 나들길,2.06km,1시간,중급, 오동공원~꽃샘길~율곡놀이터~신망애정자,
63,중랑구,용마산 나들길,4.02km,2시간,고급, 용마폭포공원~용마산 우수조망명소~깔딱고개~사가정공원,
64,용산구 중구,용산가족 산책길,3.30km,1시간,중급, 국립중앙박물관~거울못~용산가족공원~보신각종,
65,양천구,용왕산 나들길,2.63km,1시간30분,초급,용왕산 진입로~용왕정~달거리약수터,
66,서초구,우면산 나들길,3.86km,2시간,중급, 남부터미널역~소망탑 전망대,
67,강북구 도봉구,우이령 나들길,7.95km,2시간30분,중급, 방문자서비스센터~소귀고개 정상~오봉전망대~석굴암,
68,강서구,우장산 공원 산책길,2.51km,1시간 50분,초급, 우장상공원 출입구~우장산생태육교~한국폴리텍대학앞,
69,노원구,월계근린공원 산책길,1.12km,1시간,초급, 체력장,
70,마포구,월드컵공원 나들길,19.29km,4시간30분,고급,매봉산입구~난지천공원~노을공원~메타세콰이어길~하늘공원~평화의공원,
71,종로구,인사동삼청동 나들길,8.12km,2시간,중급, 인사동 네거리~경복궁매표소~청와대분수앞~북촌한옥마을길,
72,종로구,인왕산 나들길,3.54km,1시간 30분,중급, 단군성전~인왕스카이웨이 산책로~만수천약수터~범바위기점,
73,강동구,일자산 숲 나들길,5.21km,3시간,중급,길동자연생태공원~강동그린웨이 가족캠핑장~둔촌이집선생 둔굴,
74,용산구 중구,전쟁기념관 산책길,1.63km,40분,초급, 옥외전시장~전사자영비,
75,성북구,정릉숲 산책길,2.23km,1시간30분,초급, 정릉 매표소~홍살문~정자각~비각~정릉,
76,중랑구,중랑천제방장미 벚꽃길,5.68km,2시간,초급, 사각문~묵동수림공원~수림대장미원,
77,중랑구,중랑캠핑숲나들길,3.73km,2시간,중급, 중랑캠핑숲입구~망우산공원입구~나들이공원,
78,은평구,진관공원 나들길,2.76km,1시간,초급, 구파발역 1번 출입구~진관공원 전파기지국~진관초 방향 내리막길~정자,
79,성북구,천장산 산책길,2.23km,1시간,초급,천장산 전망대,
80,관악구 금천구,청룡산 나들길,5.87km,1시간 50분,초급,청룡산 공원~누수식 생태연못~청룡상 산림욕장,
81,노원구 도봉구,초안산 나들길(초록숲길),4.59km,1시간30분,초급, 산사나무 군락지,
82,서대문구,탕춘대성 숲 나들길,13.04km,4시간,고급, 인왕산~개미마을~탕춘대성문~상명대~현통사~백사실계곡,
83,용산구 중구,한남매봉공원 산책길,1.88km,1시간,초급, 단국대학교~매봉산공원~힐사이드아파트~남산공원길,
84,동작구,현충원 나들길,7.34km,4시간30분,중급, 정국교~박정희대통령묘소입구~호국지장사~육탄10용사 현충비,
85,관악구 금천구,호암산 나들길,3.95km,3시간,고급,시흥계곡 입구~산복약수터연못~생태통로~호암폭포~호압사,
86,마포구,홍대예술의거리 나들길,3.12km,2시간,중급, 공민왕 사당~와우공원~근현대디자인박물관~홍대걷고싶은길,
87,동대문구,홍릉수목원길,1.83km,1시간,초급, 홍릉수목원 입구~조경인의 숲,
